,TweetsEnglish
27,happy sunday sabah last day sandakan financial carnival town join u happening booth lot exciting offer fun activity amp lucky draw prize till pm come ambank sandakan financial carnival
28,datuk sri panglima hashim pajian amp bnm assistant governor tuan abu hassan alshari strolled booth little visit official launch keep mind today tomorrow see ambank sandakan financial carnival bnm
29,good day sandakan financial carnival town join u booth load exciting offer fun activity amp lucky draw till pm see yes ambank financial carnival sandakan
30,eastcoast team organized customer networking amp appreciation dinner kuantan earlier today chris yap md business banking pn fatimah rd east coast provided opening remark en jalaludin svp group treasury amp global market gave talk forex outlook ambank
31,financial carnival concluded thrilling weekend big congrats winner lucky draw grand prize giveaway iphonexr missed exciting event always next time stay tuned update ambank perlis iphone
32,greeting perlis financial carnival really exciting come visit booth town exclusive offer lucky draw prize great gift await well adorable amonline virtual assistant amy ambank bnm
33,today rampant scam duping credit cardholder amy amonline virtual assistant help block ambank credit card immediately call waiting click amonline mobile app amy amonline ambank scam ambankcards
34,celebrated top jompay billers tonight welcomed bukit jalil golf amp country club mydin mohamed holding board growing list billers congrats top ten billers ambank transactionbanking jompay paynet billers
35,participating upcoming microsoft sme festival want know get business right track tech join u october msftsmefestival businessforbetter microsoft ambank sme
36,congrats ambankcards level lifestyle grand prize winner mr bon came family claim brand new mercedes phase winner campaign concluded june ambank ambankcards hapsengstar mercedesbenz aclass
37,happy independence everyone amequities first malaysia introduce three language share trading platform log check new feature interested opening trading account contact u
38,kurnia proudly support program adiwira helmet launch myperintis mission help make malaysia safer place raising fund child sized helmet school kid visit remember helmetson adiwira myperintis
39,hi m sofia would appreciate call customer service executive check transaction
40,improved retail bank amp best automated chatbot initiative application program asian banker congratulation team award asianbanker ambank
41,fancy trip one seven wonder world favorite jompay bill today via amonline stand chance win plus cashbacks visit detail amonline ambank jompay
42,card team awarded best spend growth overall amp best leverage mastercard asset mastercard award presented jade lee md retail banking amp lenon cheong head card perry ong country manager malaysia amp brunei mastercard ambank
43,hi would appreciate if you could provide print screen error message via email u customercare com
44,thank feedback apologize inconvenience caused would appreciate could elaborate feedback better understanding investigation
45,hi would advise cardholder call ambank contact center send message via amonline checking card limit
46,"Thank you for the response service, continue to strive to provide the best service"
47,hi may walk nearest ambank branch detail overdraft coverage
48,awarded outstanding contribution jompay amp mydebit malaysian e payment excellence award meea third consecutive year ambank
49,fresh agm morning first ever interactive microsite
50,"Sharif Hi July public holiday considered working day check deposit transaction -processed next day, today"
51,hi saifulyacob please inform e mail replied
52,hi message displayed try incorrect password attempt may select reset password unlock profile
53,good day melaka financial carnival happening got winner come join u booth load offer activity lucky draw amp lucky u catch glimpse cute amy till pm see ya ambank melaka financial carnival
54,Hello Melaka We Carnival Visit u lot offer lucky draw amp catch glimpse Amy YB Datuk Hanif Melaka Finance Officer BNM AG En Abu Hassan Alshari visited u launch AEON Mall City Melaka today TMR
55,Hi please DM Card detail transaction time done review
56,hi please dm transaction details u review
57,ambank offer job offer career come talk u find opportunity available kickstart career u see july graduate aspire career fair booth c klcc flyhighwithambank ambankgroup teamambank
58,launched first malaysian unionpay credit card ambank unionpay platinum credit card existing ambank customer head amonline apply exclusive card visit detail apply ambank unionpay
59,right second panel session ambank bizconference earlier dato sulaiman gceo gokhan ogut ceo maxi announced strategic partnership provide joint financial amp digital solution initiative smes awesome maxi
60,amazing crowd ambank bizconference morning dato sulaiman gceo kicked growing business digitalmarketing amp branding followed panel session featuring vrinda rajkumar head digital business panelist
61,Today City Kotabahru launched two new Jompay Billers Kelantan Berhad PKB PKB Amp Kelantan Malay Religious Council Kelantan Malay Customs Maik Teh Maimunah Our Md Wholesalebanking picture honorable guest event AmBank
62,You advised to contact AmBank Call Center online please send message via Amonline account review
63,hi yeah good thanks for asking
64,thank feedback shall refer matter relevant unit checking
65,We apologize for the difficulty in getting a DM to provide a detailed problem face review
66,Please declare the type of transfer you want to use using money instant transfer IBG
67,We will soon give feedback DM thank you
68,hi yenn would appreciate being able to send a message via amonline checking matter
69,ambank wholesale banking led raja teh maimunah hosted raya open house customer appreciation luncheon marriott kk engage customer sabah region recently attended thank spending raya u ambank wholesalebanking raya sabah
70,hi pls use ibg bank experiencing technical issue accepting duitnow instant transfer transaction thank you
71,dear valued customer bank experiencing technical issue accepting duitnow instant transfer transaction experience problem sending money instant transfer kindly use interbank giro ibg instead thank
72,hi please try thanks
73,wealth amonline made investing easier choose fund based personality track easy use tool grow wealth anytime anywhere login amonline visit detail wealth ambank amonline
74,hi experiencing issue kindly call friendly contact center assistance thanks
75,ambank group raya house tonight great food great company wonderful performance beloved chairman tan sri azman hashim big thanks customer friend joining u tonight ambankraya ambank raya
76,hi referring pls try could high amount call thank you patience
77,ambank transaction banking amp group treasury colleague organized market outlook trade finance amp forex talk corporate bank assurance customer penang recently insight topic shared come team ambank market forex
78,hi calling press language selection press deposit followed amp prompted key nric thank apology late reply
79,hi mobile app web browser kindly call friendly customer service assistance thanks
80,Inas Hi Sorry for the inconvenience PM u info help thank you
81,currently experiencing issue using duitnow instant transfer service amonline kindly use interbank ibg transfer notice team looking matter amp targeting resolve issue asap sorry inconvenience tq
82,hi sorry quickly call friendly contact center assistance thanks
83,hi kindly call friendly contact center assistance thank you
84,eqhwan mokhzanee ceo ambank islamic moderate panel discussion discussing going halal beyond commercial know malaysia standard halal implementation best world insightful indeed ambank halal bizconference sme
85,en mohd fakarudin principal assistant director jakim provided insight halal certification followed en rithaudden makip chief ecosystem development officer sme corp spoke shariah compliant sme financing scheme halal chapter ambank sme halal
86,ambank bizconference halal chapter kick today opening address dato sri abdul hamidy abdul hafiz chairman ambank islamic bhd interesting day ahead lot insight halal chapter nd part series talk sms sme business
87,hi like help explain would like understand better pm u atm machine experienced thanks load
88,check clip yuna right send duit raya duitnow amonline login amonline via web mobile app register today course make duitnow transaction loved one visit learn paynet yuna
89,Hi apologize for the difficulty please contact contact center assistance. Thank you
90,raya around corner important remember prepare head home loved one safe amp lovely raya everyone raya travel balik kampung ambank
91,hi new note first come first serve however atm dispensing new note kindly refer latest tweet channel
92,Good news withdraw new RM amp RM note atm Ambank Tower Jalan Yap Kwan Seng Building Ambank Group Jalan Raja Chulan Wisma Amfirst Kelana Jaya Jalan Munshi Abdullah Melaka Amp Rasah Jaya Negeri Sembilan Hurry Until June stock last
93,Hi appreciate specify branch visited last week assistance
94,Do let damage unexpectedly prevent journey loved one One Touch AmAssurance app Enjoy Damage Vehicle Delay season Malaysians May June Happy Holidays
95,join balik kampung game today ambank wechat official account pls save image upload wechat account auto scan qr code ambank wechat raya ambankjomjomjommmraya
96,world becoming aware halal product service ever growing demand globally need penetrate market get product service halal certified get answer soon registration detail coming soon
97,soon flagging contest ambank wechat official account sure join ue road trip stand chance win many prize stay tuned let let's let's let's let's let's let's go let's go let's go let's go let's go let's go
98,Hi please contact contact center help immediately thank you
99,Students SK Batu Sembilan Cheras Ambankers open Tan Sri Azman Hashim chairman senior management evening SK Batu Sembilan part AmBank Group S School Adoption Program Salam Ramadan Muslim colleague friend AmBank
100,caught mr tey jian lucky winner mercedes benz event customer year check said end like ambank mercedesbenz levelupyourlifestyle aclass winner
101,gave away brand new mercedes benz class tey jian white shirt fr johor bahru phase level lifestyle campaign ambank cardmembers still win campaign end june ambankcards hapsengstar mercedesbenz aclass
102,panelist embracing iot featured dato sulaiman jeffrey chew fundaztic k raman microsoft malaysia sam shafie pitchin paul mcmanus maxi m jennifer chang pwc missed worry three conference planned
103,please contact contact center help
104,got great start embracing internet thing today dato sulaiman gceo opened event followed m vimala murugan director miti spoke adoption iot govt followed panel chat ambank bizconference iot
105,happening tmr join u registered late click tweet see
106,another wholesale banking csr initiative supported grp corp comms amp mktg ambank group foundation semoa farm oaec tras home orang asli kid raub visit aim identify discus possible csr collaboration btwn ambank group semoa
107,yup
108,hi locked please call friendly contact center assistance thanks
109,hi suggest call friendly contact center lodge report agent assist
110,ambank launched jompay collaboration association systemic lupus erythematosus sle today sle also known lupus jompay public donate online association sle msia mark first ngo jompay collaboration goodcause
111,hi happen branch
112,Hi long show ATM receipt
113,Hi ensure safe online banking allow amonline accessible inflated -jailbreak Android device please contact Contact Center phone type Jailbreak
114,official mcmc assure involved scam kindly pm u detail help check received sm thanks
115,yes kuantan branch open
116,official mcmc hi sorry probably previous owner number update u kindly call friendly contact center make report thank you
117,oth hi please contact contact center help thank you
118,join u may ambank bizconference embracing internet thing aloft register seat today hurry seat limited come free taking grab use promo code ambankbc enjoy rm
119,fresh ambank bizrace award last friday organizing brand new series ambank bizconference save date stay tuned information ambank igniteyourbusiness bizconference
120,please contact the contact center
121,ambank continues to strengthen transaction banking service via jompay strategic collaboration cameron highland district council member public make payment settle parking compound mdch online paynet teamambank
122,thanks feature
123,official hi informed merchant impose simply taken note guided accordingly thanks highlighting u
124,Right IEM
125,thanks tweet
126,official hi thanks tweet fyi set merchant
127,winner ambankbizrace season ptt outdoor congrats finalist course none would possible without great judge awesome night see soon ambank ambankbizclub sme award businessbanking
128,congrats top top finalist win ambankbizrace season announcing soon live via flyfm fb page ambank ambank biz club sme business banking
129,talent m haze long impressed u especially tan sri azman hashim take home beautiful portrait award night difference stay tuned find win ambankbizrace season ambank businessbanking sme ambankbizclub
130,ambankbizrace award dinner night dato sulaiman interviewed live nst watch
131,lew hi sorry promotion ended stay tuned next one
132,win ambank bizrace tomorrow night stay tuned find meanwhile check top ten finalist ambank business banking ambank ozrace finalist sme
133,thanks replied dm
134,evening ambankbizclub ceochats feature rafiq razali ceo medium prima digital take step back understand urgent important deliver maximum return impact rafiq advised find ambank
135,"Hi apologize for the difficulty, Try to Delete App Amp Reinstall"
136,guess visited booth tan sri dr zeti akhtar sportingly signed guest book come join u booth load activity fun til april ambank teamambank msam sgpetani kedah
137,good afternoon sg petani nd day msam today crowd amazing come join u ambank booth plenty activity offer gift course lucky draw congrats lucky winner today ambank msam kedah sgpetani teamambank
138,congratulations ambank bizrace season top finalist stay tuned find take grand prize ambankbizrace ambankbizclub sme top ambank
139,happy birthday
140,congrats lucky winner today win drop booth sunku saham amanah malaysia msam start today til apr plenty activity offer gift lucky draw await oh amy walking around see ambank teamambank msam sgpetani
141,ambank partner cgc provide rm mil startup amp additional rm mil smes part portfolio guarantee scheme introduction sme biz start able provide smes much needed working capital propel growth
142,ambank group amp universiti malaysia sabah ums partnered enable jompay ums student enjoy convenient simple amp secure way pay fee ums staff also make jompay payment sustainable mind center pml utility university ambank ums jompay
143,amequities sponsored inter varsity stock challenge collaboration nn connect bhd amp taylor university educational event aim deliver knowledge next generation young investor turn well informed investor
144,hi sorry hardship please pm u detail help
145,catch rafiq razali ceo medium prima digital monday april ambank bizclub ceochats sign free see ambankbizclub ceochats business sme ambank
146,huge congrats lucky winner ambank mastercard fly stay play campaign holiday singapore worth rm win ambank card check latest campaign win brand new mercedes benz class
147,dato sulaiman mohd tahir group ceo amp christopher yap md business banking ambank group medium conference morning conjunction sme financing ambank bizrace top pitch ambank businessbanking sme ambankbizclub ambankbizrace pitch
148,hi everyone today mark last day financial carnival booth bustling usual win grand prize hope come join u today load fun activity goody till pm teamambank ambank bnm financial carnival ambankers
149,hi branch thanks
150,amy joined financial carnival parade mascot looking cute amy amonlineamy amonline ambank amy bnm
151,congrats grand prize winner earlier today u kuala terengganu drop financial carnival visit bustling booth coffee customer spin wheel goody ambank ambankers teamambank financial carnival bnm
152,hi extremely sorry encountered would like help pm u full name ic number mobile let chat thanks
153,good morning terengganu ready serve come join u financial carnival th hotel amp convention center admission free plenty offer amp activity store till pm ambank teamambank ambankers financial carnival bnm
154,tan sri azman hashim opened perdana leadership foundation ceo forum earlier today honorable pm delivered closing address dato sulaiman gceo panel discussing topic reshaping msia capital market tech era
155,congrats first grand prize winner mr khairi haji ibrahim walk away microwave oven win drop booth financial carnival til saturday load activity financial carnival ambank teamambank ambankers bnm
156,yab dr ahmad samsuri mokhtar mb terengganu amp bnm assistant governor abu hassan alshari dropped booth first booth visited opening ceremony seohan soo ceo aminvestment bank rd haizi fadhil sea ambankers greeted
157,kid came connected amy first two customer day plenty happening booth financial carnival ambank ambankers terengganu bnm
158,amy amonline virtual assistant make appearance financial carnival Kuala Terengganu visit booth front main stage see amy amonline ambank teamambank ambankers financial carnival
159,good morning terengganu financial carnival amp ready serve drop around entrance free load offer activity teamambank ambank ambankers financial carnival bnm
160,witness national launch finco program tan sri azman hashim chairman finco also present yb dr maszlee malik minister education malaysia finco moe education
161,financial industry collective outreach finco amp ministry education malaysia moe today announced collaboration deliver english proficiency life aspiration program state malaysia finco moe education
162,amy amonline virtual assistant win innovative emerging digital technology project malaysia theasset triple digital award held hong kong tonight vrinda rajkumar head amdigital seen award ambank
163,thank you tweet award permission reuse picture
164,hi please contact help thank you
165,hi checked working u try u still take screenshot say pm u thanks
166,hi pm u details thanks
167,Oh advised to make online review site TQ Fund status
168,hi sorry elaborate thanks
169,hi discontinued number kindly call reach friendly contact center agent thanks
170,hi thanks application kindly email customercare com thanks
171,hi thanks sharing checked branch manager explain pm u chat
172,ambank expands digital ecosystem latest strategic partnership wechat pay malaysia appointed offer merchant another payment option accept wechat pay local e wallet ambank teamambank digital wechatpay wechat
173,yesterday marked completion ambankbizrace day development course top winner covering topic culture leadership process innovation let wish luck compete top ambankbizclub sme
174,thanks tweet
175,moses hi pm u issue details let chat thanks
176,hi kindly pm u issue let's chat thanks
177,advised plan transaction accordingly inconvenience caused sincerely regretted thank banking u
178,may access account information via amonline internet banking platform anytime anywhere query kindly call hour contact center
179,may also perform banking transaction ambank self service machine eleven taman air biru petronas bandar seri alam eleven kota masai self service machine located nearest ambank branch
180,You may proceed conduct banking transaction AmBank Permas Jaya Branch located No amp Jalan Permas Jaya Bandar Baru Permas Jaya Johor Bahru Johor
181,due chemical pollution incident Pasir Gudang Area Pasir Gudang Branch temporarily closed Thursday March Friday March View Pleased provide following alternative convenience
182,hi pm u detail experience thanks
183,Hello please PM u connection matter help
184,congrats top smes made nd installment ambank bizrace stay tuned find make top wish best ambankbizrace ambankbizclub sme finalist business ambank
185,hi probably due mobile network kindly call friendly contact center assistance tq
186,national osh excellence award financial institution category recent nosh excellence award dpm dato seri dr wan azizah wan ismail presented award eqhwan mokhzanee ceo ambank islamic also group osh chairman ambank
187,official hi thanks tweet mistaken limit set merchant need assistance drop u pm chat thanks
188,hi check itunes set auto subscription thanks
189,yes effective november thanks understanding
190,Hi check deposit made afternoon amount check credited next working day night check deposit made afternoon check amount credited working day night hour TQ
191,Hi yes right Tower Dion branch operation moved AmBank Group Building Jln Raja Chulan near
192,hi trust team connected
193,ambank club group kag internal sport club collaboration national blood center recently organized blood donation drive johor around donor joined drive syed anuar president kag kag committee attended ambank csr teamambank
194,hi replied dm
195,hi email address kindly pm u thanks
196,ambank bizrace top pitch happening right best participant pitching ambankbizrace ambank biz club ambank sme business banking
197,hi amonline accessible apology inconvenience caused
198,hi amonline accessible apology inconvenience caused
199,hi apology access amonline currently intermittently performing upgrading exercise improve banking experience able log soon thank you patience
200,yup apology access amonline currently intermittently performing upgrading exercise improve banking experience able log soon thank you patience
201,hi apology access amonline currently intermittently performing upgrading exercise improve banking experience able log soon thank you patience
202,hi kindly contact friendly contact center assistance alternatively pm u detail thanks
203,Hi appreciate advise mobile phone number company reference please contact contact center thank you
204,ambank group cny open house tonight mesmerizing performance chairman lion troop big band happy cny ambank cny cny
205,thanks tweet sure let branch know
206,ambank group win best sme bank award malaysia global banking amp finance review leading uk based financial portal print magazine first u congrats dato sulaiman gceo chris yap md business banking team teamambank sme
207,thanks reply wish inform e statement january longer available via amonline record maintained latest month may proceed ambank branch assistance thanks
208,lion came entertained chairman tan sri azman hashim c suite senior management colleague customer building ambank group earlier wish everyone prosperous awesome new year ambank cny cny ambankers
209,fantastic lion dance menara ambank earlier chairman tan sri azman hashim c suite senior management fellow colleague customer part joyous event great prosperous cny everyone ambank cny cny ambankers
210,product saving current loan credit card etc kindly advise help accordingly
211,hi product referring thanks
212,hi yes visit find call friendly contact center inquire
213,R No Salam AmBank Savings Account Opening FREE minimum deposit criterion RM fee RM TQ Debit Card withdrawal
214,beloved chairman group ceo senior management ambank group coming together wish everyone happy chinese new year ambank cny cny teamambank ambankers
215,stand new mercedes benz class unlock today spend minimum rm using ambank credit card locally online overseas daily lazada voucher worth rm also grab register till june
216,hi call friendly contact center urgent assistance thanks
217,ambank group wish happy prosperous chinese new year may year bring much happiness health wealth safe travel festive period memorable cny loved one happy holiday cny chinesenewyear cny
218,hi okay try problem persists please kindly call friendly contact center assistance thanks
219,hi withdraw time month kindly refer pls pm u need info tq
220,type case best call friendly contact center
221,"thanks for the feedback, pm me the details thanks"
222,strange pm u full name ic number mobile number get team check thanks
223,hi seems phone number registered call friendly contact center assistance try registering mobile number ambank atm
224,sharif hi yes closed public holiday
225,course dato sulaiman team resist test drive new proton x ambank proton x
226,today ambank amp cgc form strategic collaboration proton providing financing access via portfolio guarantee rm mil allocated exclusively proton dealer facilitate upgrading facility center x teamambank
227,sorry hear pm u details ie full name mobile location branch name staff thanks
228,perhaps share feedback branch manager feedback important thanks
229,hi call friendly contact center urgent assistance thanks
230,hi please call friendly contact center assistance thanks
231,hi check linkedin page search ambank group available vacancy
232,hi pm u details alternatively please call friendly contact center quicker assistance
233,Hi please contact contact center help. Thank you
234,unfortunately possible pls call friendly contact center require information thanks
235,checked wish inform perform change vehicle ownership existing hirer advised settle outstanding amount upon settlement hirer may proceed jpj tq
236,hi thanks inquiry let u check get back thanks
237,Apologies hardship PM u details thank you
238,hi truly sorry hear pm u details thanks
239,register duitnow amonline via
240,hi pm u details let u help thanks
241,hi apologies late reply please call friendly contact center quick assistance thanks
