,Date,Tweets
50,2020-10-30 12:59:14+00:00," Salam Sejahtera daripada AmBank

Hai,زول


Kami memohon kerjasama anda untuk mengemukakan nombor kad pengenalan/pasport dan nombor telefon anda untuk semakan lanjut

Sekian"
51,2020-10-30 12:55:03+00:00," Salam Sejahtera daripada AmBank

Hai, Black Heart


Kami memohon maaf atas kesulitan tersebut, terima kasih atas bayaran anda pada bulan Oktober.

Terima kasih"
52,2020-10-30 12:43:57+00:00," Salam Sejahtera daripada AmBank 

Hai, Izzatul Nazmeen


Kami memohon kerjasama anda untuk mengemukakan pertanyaan anda dengan lebih lanjut untuk bantuan dan nasihat lanjut

Sekian"
53,2020-10-28 01:35:36+00:00," Hi 

Kindly specify the machine location for our onwards action.

Thank you."
54,2020-10-28 01:33:19+00:00," Hi 

To ensure confidentiality and security, we are unable to verify any account details via Facebook.

We would appreciate if the accountholder could call Contact Centre at 03-2178 8888 (7am – 11pm) for further assistance on the said issue.

Thank you."
55,2020-10-27 00:58:04+00:00," Hai Black Heart

Adalah dimaklumkan bahawa pihak bank telah menghantar notifikasi melalui SMS kepada semua peminjam berkenaan bayaran pinjaman selepas moratorium.

Terima kasih."
56,2020-10-26 09:50:14+00:00," Hai Black Heart

Adalah dimaklumkan bahawa pihak bank telah menghantar notifikasi melalui SMS kepada semua peminjam berkenaan bayaran pinjaman selepas moratorium.

Terima kasih."
57,2020-10-20 01:13:51+00:00," Hi 

We are pleased to inform that the apps issue has been resolved.

If you are the affected IOS user, kindly update the latest AmOnline version from App Store.

Any inconvenience caused is very much regretted.

Thank you."
58,2020-10-20 01:12:19+00:00," Hi 

We are pleased to inform that the apps issue has been resolved.

If you are the affected IOS user, kindly update the latest AmOnline version from App Store.

Any inconvenience caused is very much regretted.

Thank you."
59,2020-10-20 01:10:58+00:00,"_man_ Hi _man_

We are pleased to inform that the apps issue has been resolved.

If you are the affected IOS user, kindly update the latest AmOnline version from App Store.

Any inconvenience caused is very much regretted.

Thank you."
60,2020-10-20 01:09:28+00:00," Hi 

We are pleased to inform that the apps issue has been resolved.

If you are the affected IOS user, kindly update the latest AmOnline version from App Store.

Any inconvenience caused is very much regretted.

Thank you."
61,2020-10-19 04:00:11+00:00,"_huat Hi Lim Chin Huat

Kindly be advised that we are in the midst of rectifying the issue.

In the meantime, we would appreciate if you could perform transaction via AmOnline web:


Any inconvenience caused is very much regretted.

Thank you."
62,2020-10-19 03:59:01+00:00,"_huat Hi Lim Chin Huat

Kindly be advised that we are in the midst of rectifying the issue.

In the meantime, we would appreciate if you could perform transaction via AmOnline web:


Any inconvenience caused is very much regretted.

Thank you."
63,2020-10-19 03:57:45+00:00," Hi 

Kindly be advised that we are in the midst of rectifying the issue.

In the meantime, we would appreciate if you could perform transaction via AmOnline web:


Any inconvenience caused is very much regretted.

Thank you."
64,2020-10-19 03:40:57+00:00," Hi 

Kindly be advised that we are in the midst of rectifying the issue.

In the meantime, we would appreciate if you could perform transaction via AmOnline web:


Any inconvenience caused is very much regretted.

Thank you."
65,2020-10-18 13:26:46+00:00,We pray for her smooth recovery. Official statement below. Take care everyone. 
66,2020-10-14 07:03:28+00:00,"Just entered the workforce? Ready for the next progress in your life? Get your FIRST car with us! Visit your nearest Perodua showroom to find out more about our preferential rates. See you there! Valid from 1 Oct 2020 until 31 Dec 2020
    "
67,2020-10-12 10:14:51+00:00," Hi 

We would appreciate if you could provide further details via PM for our assistance.

Thank you."
68,2020-10-12 01:43:55+00:00," Hai 

Kami memohon maaf kerana Pusat Panggilan AmBank sedang mengalami kadar panggilan yang tinggi.

Sila nyatakan jenis transaksi dan kod (error code) yang dipaparkan di AmOnline untuk semakan selanjutnya.

Terima kasih."
69,2020-10-12 01:35:57+00:00," Hi 

Kindly specify which AmOnline features that are not functioning for our checking.

Thank you."
70,2020-10-12 01:33:32+00:00," Hi JuneResources

We are sorry that our Contact Centre is currently experiencing high call volumes.

We would appreciate if you could send message via AmOnline app for further assistance on the said request.

Thank you."
71,2020-10-09 10:03:58+00:00,"Our New AmOnline app features AmSecure, a TAC-less method to authorise transactions within the app! It’s safe, and more seamless.

Experience to believe it, download the new AmOnline app now from your respective app store!

For more information, go to  "
72,2020-10-08 01:12:21+00:00,"_ Hai _

Anda boleh melaporkan isu tersebut melalui AmOnline app untuk semakan selanjutnya.

Login ke AmOnline app &gt; Menu &gt; Inbox &gt; AmMail tab dan tekan ‘Create New Message’ untuk hantar mesej melalui app.

Terima kasih."
73,2020-10-08 01:09:00+00:00," Hi 

Kindly provide further details via PM for our assistance.

Thank you."
74,2020-10-07 01:49:14+00:00," Hai Beacker Julian

Kami memohon maaf kerana Pusat Panggilan AmBank sedang mengalami kadar panggilan yang tinggi.

Kami amat menghargai sekiranya anda dapat semak maklumat akaun melalui AmOnline:


Terima kasih."
75,2020-10-04 10:35:40+00:00," Hi 

The bank will send notification letter on any revision to the loan monthly installment.

We would appreciate if you could check on the account details via AmOnline:


Thank you."
76,2020-10-03 04:25:08+00:00," Hai Nurul'Ain

Kami memohon maaf kerana Pusat Panggilan AmBank mengalami kadar panggilan yang tinggi.

Kami amat menghargai sekiranya anda dapat semak maklumat bayaran pinjaman melalui AmOnline:


Terima kasih."
77,2020-10-03 04:20:18+00:00," Hi TiaraRoss

Kindly refer to our reply via PM.

Thank you."
78,2020-10-03 04:13:10+00:00," Hai 

TAC diperlukan untuk pendaftaran AmOnline menggunakan akaun pinjaman.

Kami amat menghargai sekiranya anda boleh hubungi Pusat Panggilan AmBank di talian 03-2178 8888 untuk mendaftar TAC.

Terima kasih."
79,2020-10-01 09:32:51+00:00," Hai Hazwany

Pihak bank sedang membaikpulih sistem dan dana tersebut akan dikembalikan ke dalam akaun sekiranya terdapat penolakan.

Segala kesulitan yang dialami amat dikesali.

Terima kasih."
80,2020-10-01 09:30:46+00:00," Hi 

We sincerely apologize for any inconvenience caused.

Kindly be advised that we are in the midst of rectifying this issue.

Please be assured that the refund will be credited into your account at earliest.

Thank you."
81,2020-10-01 09:07:34+00:00," Hi Muizloda

We are pleased to inform that the said issue has been rectified.

Thank you."
82,2020-10-01 02:11:11+00:00," Hi DZ

We have escalated your request to the respective unit for further action.

Thank you."
83,2020-10-01 01:17:40+00:00," Hi 

Kindly provide further details via PM for our assistance.

Thank you."
84,2020-09-30 08:29:22+00:00,"Moratorium ends today. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to our simple guide on how to apply for a repayment assistance. Visit  for details. 
Stay safe everyone. "
85,2020-09-30 07:09:43+00:00," _official  Hi 

Kindly provide further details via PM for our assistance.

Thank you."
86,2020-09-30 02:42:45+00:00," Hi anisalis

Sila kemukakan maklumat lanjut melalui PM untuk bantuan selanjutnya.

Terima kasih."
87,2020-09-29 10:09:00+00:00,"Great News! We are extending our Weekend Banking at selected AmBank branches to this weekend, 2 – 4 October 2020 for Post-Moratorium Repayment Assistance Programme. 

Refer to our infographic here. For more info, visit  "
88,2020-09-29 04:13:25+00:00,"1 day to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to our simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
89,2020-09-29 02:07:45+00:00," Hi AmirulTalib27

Nombor telefon tersebut merupakan talian Unit Pemasaran AmBank (Telemarketing).

Terima kasih."
90,2020-09-29 02:01:06+00:00," Hai Tiqaaa

Kami amat menghargai sekiranya anda dapat semak baki pinjaman melalui salah satu saluran berikut:

- AmOnline: 
- Hubungi Pusat Panggilan AmBank di talian 03-2178 8888 (7 pagi – 11 malam)

Terima kasih."
91,2020-09-28 11:03:01+00:00," Hi adisofri

To ensure confidentiality and security, we are unable to access any account details via Twitter.

Kindly clarify on the payment status via one of the following channels:

-Send message via AmOnline app
-Call Contact Centre at 03-2178 8888 (7 am – 11 pm)

Thank you."
92,2020-09-28 10:56:52+00:00," Hi Ardian

Kindly provide further details via PM for further assistance.

Thank you."
93,2020-09-28 10:55:18+00:00," Hi Jack Chong

We would appreciate if you could liaise with AmMetlife Insurance:

AmMetlife Insurance
Tel: 1300 88 8800 / 03-2271 8000
Fax: 603-21713000
E-mail: customercare.com
Website: 

Thank you."
94,2020-09-28 10:53:07+00:00," Hi Ridley

Kindly provide further details via PM for further assistance.

Thank you."
95,2020-09-28 04:02:20+00:00,"2 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
96,2020-09-27 11:47:13+00:00,"3 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
97,2020-09-25 07:14:47+00:00,"5 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
98,2020-09-23 06:31:21+00:00,"BNM, with support from AKPK and many participating banks including AmBank, is organising a Repayment Assistance Campaign this Sunday, 27 Sept 2020, and next Monday, 28 Sept 2020, in Shah Alam. If you are an affected party and wish to seek guidance, head over to SACC this weekend. "
99,2020-09-23 02:27:51+00:00," Hai 

Anda perlu memuat turun aplikasi mobil AmOnline untuk membenarkan transaksi tersebut.

Sila dapatkan aplikasi AmOnline dari Apple Store untuk dikemaskini ke dalam telefon anda.

Terima kasih."
100,2020-09-23 02:21:26+00:00,"_  Hai _

Anda boleh kemukakan resit bayaran AmOnline kepada Grab untuk bukti transaksi telah berjaya dan ditolak dari akaun.

Terima kasih."
101,2020-09-22 04:14:07+00:00,"8 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to our simple guide below on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
102,2020-09-18 09:39:01+00:00,"12 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue yourr payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
103,2020-09-18 01:47:58+00:00,"Selected branches will be operating during this weekend of 18, 19 &amp; 20 Sept 2020 and the next weekend of 25, 26 &amp; 27 Sept 2020 from 10am to 3pm to help those who require financial assistance after moratorium ends.  for the list of branches."
104,2020-09-17 04:23:02+00:00,"Selected branches will be operating during the weekends of 18, 19 &amp; 20 Sept 2020 and 25, 26 &amp; 27 Sept 2020 from 10am to 3pm to help those who require financial assistance after moratorium ends.  for the list of branches."
105,2020-09-17 02:45:52+00:00,"Save, Spend &amp; Invest/Insure with us and be rewarded up to 6.25%p.a.! 

Campaign is valid from 1st September 2020 - 31st December 2020.

T&amp;C apply. Visit  for more details.

   "
106,2020-09-17 01:54:09+00:00," Hi Nurul’Ain

We wish to inform that the interest rate stated via AmOnline is the actual rate for your housing loan.

You may clarify on the interest details via one of the following channels:

-Send message via AmOnline app
-Call Contact Centre at 03-2178 8888 (7 am – 11 pm)"
107,2020-09-15 03:42:18+00:00,"15 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue your payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
108,2020-09-14 08:17:21+00:00,"3 more days to the end of the Sukuk Prihatin subscription! With a minimum subscription of RM500, you can subscribe digitally via JomPAY or DuitNOW on AmBank’s online channels. Enjoy 2% p.a. profit rate over two years. Visit  for details. 
 "
109,2020-09-10 01:39:20+00:00,"20 days to go before the end of Moratorium. Starting 1 Oct 2020, you will continue yr payments. But, we can help. Do refer to a simple guide on how to apply for a repayment assistance. Visit  for details. Stay safe everyone. "
110,2020-09-09 01:47:13+00:00," Greetings from AmBank.

Hi QienaOgata

Kindly provide further details via PM for our checking.

Thank you."
111,2020-09-04 10:11:40+00:00,"  Hai 

Sila kemukakan maklumat lanjut melalui PM untuk bantuan selanjutnya.

Terima kasih."
112,2020-09-02 01:32:23+00:00," Hai ehsaneusofe

Sila kemukakan maklumat lanjut untuk siasatan ke atas dakwaan tersebut.

Terima kasih."
113,2020-08-28 04:52:28+00:00,"In conjunction with the nation’s 63rd Independence Day, we wish all Malaysians
‘Selamat Menyambut Hari Kebangsaan’.
   "
114,2020-08-26 05:27:20+00:00," Hi Pradeesh 

Kindly refer to our reply via PM.

Thank you."
115,2020-08-25 08:24:10+00:00," Greetings from AmBank.

Hi Pradeesh

We would appreciate if you could refer to our reply via PM.

Thank you."
116,2020-08-22 04:49:21+00:00," Greetings from AmBank.

Hi Shaz

We would appreciate if you could provide further details via PM for further assistance.

Thank you."
117,2020-08-18 10:40:25+00:00,"Introducing Sukuk Prihatin, the nation’s first ever digital sukuk established to benefit, among others, rural schoolchildren and micro entrepreneurs. Subscribe with a minimum of RM500 digitally, via JomPAY/DuitNOW on AmBank's online channels. Visit  "
118,2020-08-14 08:41:27+00:00,"Say hello to the New AmOnline App!
It is packed with enhanced features designed to make your mobile banking experience faster, safer and more convenient! 
Download it now! 
For more information, go to 
 
  "
119,2020-08-13 03:42:12+00:00," Salam Sejahtera dari AmBank.

Hai E R A Z F A D L I

Kami amat menghargai sekiranya anda dapat hubungi Pusat Panggilan AmBank di talian 03-2178 8888 (7 pagi – 11 malam) untuk bantuan selanjutnya ke atas akaun / pinjaman.

Terima kasih."
120,2020-08-10 07:59:15+00:00,"Dear valued customers, we are here to help you. Please do read the announcement below and visit  for assistance. Meanwhile, stay safe and take care. "
121,2020-08-05 10:13:53+00:00,"_rafy Greetings from AmBank.

Hi Rafee

We wish to inform that AmOnline system is accessible and you may specify the error code and message prompted for our checking.

Thank you."
122,2020-08-04 06:32:06+00:00," Salam Sejahtera dari AmBank.

Hai Muizloda

Adalah dimaklumkan bahawa tiada gangguan terhadap sistem TAC AmBank.

Anda boleh hubungi Pusat Panggilan AmBank di talian 03-2178 8888 (7 pagi – 11 malam) untuk semakan ke atas status nombor telefon tersebut.

Terima kasih."
123,2020-08-03 08:12:32+00:00," Hi Shereen
To ensure confidentiality and security, we are unable to access any account details via Twitter.
We would appreciate if you could send message via AmOnline for us to retrieve your account details and check further on the said transaction status."
124,2020-08-03 02:50:47+00:00,"AmInvestment Bank garnered two awards from Mirror, Trade &amp; Learn Campaign, organised by Bursa Malaysia Securities Berhad. Joseph Chai, Head of Retail Research, AmInvestment Bank, garnered top prize for Highest Portfolio Gain and placed 2nd for Highest Engagement with Followers. "
125,2020-08-03 01:27:45+00:00,"_ Hi there, sorry for the late reply. Kindly visit  for assistance. Thanks."
126,2020-08-02 06:55:34+00:00,"_imran  Hai _imran,

Maaf atas kesulitan yang anda hadapi.

Kami sarankan anda untuk semak Google Playstore anda untuk mengemaskini aplikasi AmOnline anda.

Sekiranya anda pengguna iPhone, AmOnline baharu akan tiba di Apple AppStore tidak lama lagi."
127,2020-08-02 06:42:29+00:00,"  Hi ,

We are glad to learn that you are enjoying the new AmOnline.

We will continue to enhance our online banking platform to better serve to all of our customers."
128,2020-08-02 06:38:03+00:00,Thanks for the tweet! Made our day! 😊 
129,2020-08-02 06:37:19+00:00,Thanks for the tweet! Made our day! 😊 
130,2020-08-02 06:36:37+00:00," Hi ,

We are pleased to learn that you are enjoying our new AmOnline with enhanced features.

We will keep on progressing for a better customer experience."
131,2020-07-24 09:23:44+00:00,"_jugador _official Hai _jugador,

Anda boleh menghantar emel ke merchant-helpdesk.com berserta sebarang bukti untuk tindakan lanjut pihak kami."
132,2020-07-21 07:15:41+00:00," Hi ,

To ensure confidentiality and privacy, we regret to inform you that we are unable to act on your request and disclose any account information via this channel.

You are advised to call AmBank Contact Centre at +603-2178 8888 for further assistance."
133,2020-07-14 09:01:18+00:00," Hi ,

Kindly be advised that AmBank did not provide the softcopy for your Hire Purchase Registration Card (RC).

You may request for the original RC by calling Ambank Contact Centre at +603 2178 8888 for assistance."
134,2020-07-13 14:08:57+00:00,Thank you for the recognition! Congrats to all AmBankers! 😀💪🏽 
135,2020-07-13 01:02:06+00:00," Hi ,

We're sorry, but to ensure confidentiality and privacy, regret to inform you that we are unable to act on your request and disclose any account information via this channel.

You may call AmBank call center at 03 2178 8888 for account related &amp; enquiries."
136,2020-07-11 10:39:13+00:00,"Let us lend you a helping hand. We have put together a series of essential kits that comprise of all our packages/offers/solutions to help you. Check it out at  
   "
137,2020-07-09 04:29:49+00:00," Hi ,

Regret to inform you that we no longer operate on Saturday &amp; Sunday nationwide."
138,2020-07-07 07:12:26+00:00,"  Hai ,

Terima kasih kerana memilih AmBank sebagai bank pilihan anda.

Kami sangat berbesar hati menerima anda sebagai pelanggan kami."
139,2020-07-06 10:16:22+00:00," Hi ,

Kindly be advised that we have since referred your matter to the concerning department for further review and clarification."
140,2020-07-06 02:58:56+00:00," Hi ,

We would really appreciate it if you could DM us with your details for us to raise a report regarding to your issue."
141,2020-07-06 01:41:44+00:00," Hi ,

Our sincerest apologies for such inconvenience that you have encountered. 

We have since highlighted the matter to the said branch for their swift action.

Thank you."
142,2020-07-03 06:34:05+00:00,"_nurashikin Greetings from AmBank 

Hi, Anis N Nordin

You may request the document to be sent to the registered mailing address as per our Bank’s record via one of the following channels. 

1) Call AmBank Contact Centre at 03-2178 8888
2) Send a message via AmOnline (only for AmOnline user)"
143,2020-07-03 01:31:33+00:00," Salam Sejahtera daripada AmBank 

Hai, 


Kami mohon maaf atas kesulitan tersebut, sila kemukakan mesej ralat yang terpapar pada skrin untuk nasihat kami yang selanjutnya.

Sekian"
144,2020-07-03 01:27:59+00:00," Greetings from AmBank 

Hi, Kavitha Seras

@

Please complete the process via AmOnline, from 18 May 2020 onwards. Login to AmOnline
(
via your web browser (Note: This Moratorium feature is not available in the AmOnline mobile app);

Regards"
145,2020-07-03 01:25:01+00:00," Salam Sejahtera daripada AmBank 

Hai, 1mysarr4


Sila log masuk ke AmOnline ( melalui pelayar web anda anda (Nota: Ciri Moratorium ini tidak terdapat dalam aplikasi mudah alih AmOnline)

Sekian"
146,2020-07-03 01:23:14+00:00," Greetings from AmBank 

Hi, Bread Pizza


Login to AmOnline
(
via your web browser (Note: This Moratorium feature is not available in the AmOnline mobile app)

Thank you"
147,2020-07-03 01:20:24+00:00,"_nagasaki Salam Sejahtera daripada AmBank 

Hai, _nagasaki

Adalah dimaklumkan bahawa anda dinasihatkan untuk menghubungi Pusat Panggilan AmBank di talian 03-2178 8888 terlebih dahulu bagi tujuan pendaftaran perkhidmatan TAC.

Sekian"
148,2020-07-03 01:16:04+00:00,"_ Greetings from AmBank 

Hi, kATIK
_

Kindly be informed that Customer Contact Centre from 8.00 a.m. to 8.00 p.m. daily at 03-2178 8888. 

Alternatively you may compose message via AmOnline account for further assistance

Regards"
149,2020-07-03 01:13:49+00:00," Greetings from AmBank 

Hi, hanimomo

Kindly be informed that Customer Contact Centre from 8.00 a.m. to 8.00 p.m. daily at 03-2178 8888. 

Regards"
150,2020-07-03 01:11:37+00:00," Salam Sejahtera daripada AmBank 

Hai,𝔔𝔲𝔢𝔢𝔫


Kami hargai jika anda boleh memberikan mesej ralat yang terpapar pada skrin untuk nasihat kami yang selanjutnya.

Sekian"
